contrast,feature,n0,n1,young_mean,old_mean,diff,welch_p,hedges_g,q_BH
old-vs-young,HS3_multilevel,5,5,0.084375,0.128125,0.04374999999999998,0.06796797252177654,1.2267608388934514,0.8495996565222084
old-vs-young,HS3_mean_D,5,5,1.084375,1.128125,0.043749999999999956,0.06796797252177667,1.2267608388934506,0.8495996565222084
old-vs-young,sd_D,5,5,0.542687938668214,0.4921390714251725,-0.05054886724304147,0.2655055348792861,-0.6894269983834019,0.8896380022263223
old-vs-young,pivot_rate,5,5,0.25416666666666665,0.259375,0.00520833333333337,0.2712414986428059,0.6927425705718226,0.8896380022263223
old-vs-young,HS1_mean_lambda,5,5,9.31875,9.65,0.3312500000000007,0.2769148621804689,0.6995267588766747,0.8896380022263223
old-vs-young,HS1_mean_H,5,5,9.425,9.74375,0.31874999999999964,0.2887306315296794,0.6806887789387907,0.8896380022263223
old-vs-young,HS2_mean_D,5,5,1.490625,1.390625,-0.10000000000000009,0.3073609584575443,-0.6228000956564879,0.8896380022263223
old-vs-young,compound_pivot_fraction,5,5,0.8564864413850646,0.8152428971588636,-0.04124354422620102,0.3945321434685529,-0.5219223018478211,0.8896380022263223
old-vs-young,sd_lambda,5,5,3.4271191611445047,3.2643049864664855,-0.16281417467801917,0.40908561583740144,-0.5105075833349891,0.8896380022263223
old-vs-young,sd_H,5,5,3.13021300499327,2.9839804450793257,-0.14623255991394446,0.41907500128764624,-0.5012294763941704,0.8896380022263223
old-vs-young,HS2_multilevel,5,5,0.309375,0.2625,-0.046875,0.45187029498823394,-0.4519268503636364,0.8896380022263223
old-vs-young,mean_D,5,5,1.2270833333333333,1.2041666666666666,-0.022916666666666696,0.45477274006749435,-0.45216794371220925,0.8896380022263223
old-vs-young,pivot_depth,5,5,5.317044221944097,5.0503369347739095,-0.26670728717018743,0.4762998018751454,-0.43688087968581857,0.8896380022263223
old-vs-young,HS2_mean_lambda,5,5,9.196875,9.46875,0.27187499999999964,0.5294923856226732,0.3762898871896589,0.8896380022263223
old-vs-young,mean_lambda,5,5,9.323958333333334,9.5,0.17604166666666643,0.5531372997646684,0.3642716925416577,0.8896380022263223
old-vs-young,mean_H,5,5,9.551041666666666,9.704166666666666,0.1531249999999993,0.5693683214248463,0.3494450993822769,0.8896380022263223
old-vs-young,HS2_mean_H,5,5,9.6875,9.859375,0.171875,0.6121063092774359,0.3022571875911229,0.9001563371726999
old-vs-young,HS1_multilevel,5,5,0.10625,0.09375,-0.012499999999999997,0.6903983832106863,-0.23630913967350187,0.9084189252772198
old-vs-young,HS1_mean_D,5,5,1.10625,1.09375,-0.012499999999999956,0.690398383210687,-0.23630913967350112,0.9084189252772198
old-vs-young,tree_span_events,5,5,2.7718631583228244,2.723893065998329,-0.04797009232449545,0.7288520442564922,-0.20602261389121623,0.9110650553206152
old-vs-young,multilevel,5,5,0.16666666666666669,0.16145833333333334,-0.005208333333333343,0.80189826169807,-0.14950299923139573,0.9457732842695773
old-vs-young,HS3_mean_lambda,5,5,9.45625,9.38125,-0.07500000000000107,0.832280490157228,-0.1258778922108959,0.9457732842695773
old-vs-young,tree_span_time,5,5,1.8451332548172457,1.830267965921749,-0.014865288895496764,0.8758767573181353,-0.09258480389928153,0.9520399536066688
old-vs-young,HS3_mean_H,5,5,9.540625,9.509375,-0.03125,0.9271794255005846,-0.0542744776961842,0.965811901563109
old-vs-young,tree_root_fraction,5,5,0.014583333333333334,0.014583333333333332,-1.734723475976807e-18,0.9999999999999996,-3.0864981386180884e-16,0.9999999999999996
